Indicator Code: CG0730
"Indicator Name: Prostate cancer"
Export date: 11/14/2025 1:58:18 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: C61"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,ALB,Albania,1989,All,Age30_34,[30-34],1.00000000,0.41322314,,0.39651071,
EU,Europe,ALB,Albania,1989,All,Age35_39,[35-39],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1989,All,Age40_44,[40-44],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1989,All,Age45_49,[45-49],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1989,All,Age50_54,[50-54],1.00000000,0.16949153,,0.80321285,
EU,Europe,ALB,Albania,1989,All,Age55_59,[55-59],6.00000000,0.75000000,,5.85365854,
EU,Europe,ALB,Albania,1989,All,Age60_64,[60-64],10.00000000,0.89206066,,12.48439451,
EU,Europe,ALB,Albania,1989,All,Age65_69,[65-69],17.00000000,1.10103627,,25.41106129,
EU,Europe,ALB,Albania,1989,All,Age70_74,[70-74],22.00000000,1.23249300,,52.13270142,
EU,Europe,ALB,Albania,1989,All,Age75_79,[75-79],23.00000000,0.94378334,,72.10031348,
EU,Europe,ALB,Albania,1989,All,Age80_84,[80-84],11.00000000,0.59459459,,63.95348837,
EU,Europe,ALB,Albania,1989,All,Age85_over,[85+],11.00000000,0.49728752,,105.76923077,
EU,Europe,ALB,Albania,1989,All,Age_unknown,[Unknown],0.00000000,,,,
EU,Europe,ALB,Albania,1989,Male,Age_all,[All],103.00000000,1.00940808,12.10354770,6.28777242,
EU,Europe,ALB,Albania,1989,Male,Age00,[0],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1989,Male,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1989,Male,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1989,Male,Age10_14,[10-14],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1989,Male,Age15_19,[15-19],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1989,Male,Age20_24,[20-24],1.00000000,0.56818182,,0.64061499,
EU,Europe,ALB,Albania,1989,Male,Age25_29,[25-29],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1989,Male,Age30_34,[30-34],1.00000000,0.68027211,,0.76863951,
EU,Europe,ALB,Albania,1989,Male,Age35_39,[35-39],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1989,Male,Age40_44,[40-44],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1989,Male,Age45_49,[45-49],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1989,Male,Age50_54,[50-54],1.00000000,0.23923445,,1.50602410,
EU,Europe,ALB,Albania,1989,Male,Age55_59,[55-59],6.00000000,1.04166667,,11.29943503,
EU,Europe,ALB,Albania,1989,Male,Age60_64,[60-64],10.00000000,1.31752306,,25.97402597,
EU,Europe,ALB,Albania,1989,Male,Age65_69,[65-69],17.00000000,1.72764228,,54.14012739,
EU,Europe,ALB,Albania,1989,Male,Age70_74,[70-74],22.00000000,1.98735321,,115.18324607,
EU,Europe,ALB,Albania,1989,Male,Age75_79,[75-79],23.00000000,1.87755102,,179.68750000,
EU,Europe,ALB,Albania,1989,Male,Age80_84,[80-84],11.00000000,1.24858116,,180.32786885,
EU,Europe,ALB,Albania,1989,Male,Age85_over,[85+],11.00000000,1.21278942,,305.55555556,
EU,Europe,ALB,Albania,1989,Male,Age_unknown,[Unknown],0.00000000,,,,
EU,Europe,ALB,Albania,1992,All,Age_all,[All],82.00000000,0.47569324,3.66222285,2.57045234,
EU,Europe,ALB,Albania,1992,All,Age00,[0],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1992,All,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1992,All,Age05_09,[5-9],2.00000000,0.86206897,,0.55294443,
EU,Europe,ALB,Albania,1992,All,Age10_14,[10-14],1.00000000,0.60240964,,0.29594555,
EU,Europe,ALB,Albania,1992,All,Age15_19,[15-19],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1992,All,Age20_24,[20-24],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1992,All,Age25_29,[25-29],1.00000000,0.33783784,,0.38550501,
EU,Europe,ALB,Albania,1992,All,Age30_34,[30-34],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1992,All,Age35_39,[35-39],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1992,All,Age40_44,[40-44],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1992,All,Age45_49,[45-49],3.00000000,0.81967213,,2.03252033,
EU,Europe,ALB,Albania,1992,All,Age50_54,[50-54],1.00000000,0.18018018,,0.74460164,
EU,Europe,ALB,Albania,1992,All,Age55_59,[55-59],1.00000000,0.13297872,,0.88028169,
EU,Europe,ALB,Albania,1992,All,Age60_64,[60-64],9.00000000,0.73289902,,9.98890122,
EU,Europe,ALB,Albania,1992,All,Age65_69,[65-69],13.00000000,0.98709188,,18.30985916,
EU,Europe,ALB,Albania,1992,All,Age70_74,[70-74],10.00000000,0.56085250,,20.12072435,
EU,Europe,ALB,Albania,1992,All,Age75_79,[75-79],22.00000000,1.20087336,,65.47619048,
EU,Europe,ALB,Albania,1992,All,Age80_84,[80-84],12.00000000,0.64171123,,69.36416185,
EU,Europe,ALB,Albania,1992,All,Age85_over,[85+],7.00000000,0.34313725,,59.82905983,
EU,Europe,ALB,Albania,1992,All,Age_unknown,[Unknown],0.00000000,,,,
EU,Europe,ALB,Albania,1992,Male,Age_all,[All],82.00000000,0.82486671,8.79077349,5.15950418,
EU,Europe,ALB,Albania,1992,Male,Age00,[0],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1992,Male,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1992,Male,Age05_09,[5-9],2.00000000,1.36054422,,1.06496273,
EU,Europe,ALB,Albania,1992,Male,Age10_14,[10-14],1.00000000,0.90090090,,0.57110223,
EU,Europe,ALB,Albania,1992,Male,Age15_19,[15-19],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1992,Male,Age20_24,[20-24],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1992,Male,Age25_29,[25-29],1.00000000,0.45248869,,0.82918740,
EU,Europe,ALB,Albania,1992,Male,Age30_34,[30-34],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1992,Male,Age35_39,[35-39],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1992,Male,Age40_44,[40-44],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1992,Male,Age45_49,[45-49],3.00000000,1.13207547,,3.91644909,
EU,Europe,ALB,Albania,1992,Male,Age50_54,[50-54],1.00000000,0.27322404,,1.41843972,
EU,Europe,ALB,Albania,1992,Male,Age55_59,[55-59],1.00000000,0.19230769,,1.68350168,
EU,Europe,ALB,Albania,1992,Male,Age60_64,[60-64],9.00000000,1.06007067,,20.13422819,
EU,Europe,ALB,Albania,1992,Male,Age65_69,[65-69],13.00000000,1.56815440,,39.03903904,
EU,Europe,ALB,Albania,1992,Male,Age70_74,[70-74],10.00000000,0.88495575,,45.24886878,
EU,Europe,ALB,Albania,1992,Male,Age75_79,[75-79],22.00000000,2.12150434,,160.58394161,
EU,Europe,ALB,Albania,1992,Male,Age80_84,[80-84],12.00000000,1.43369176,,190.47619048,
EU,Europe,ALB,Albania,1992,Male,Age85_over,[85+],7.00000000,0.87609512,,179.48717949,
EU,Europe,ALB,Albania,1992,Male,Age_unknown,[Unknown],0.00000000,,,,
EU,Europe,ALB,Albania,1993,All,Age_all,[All],80.00000000,0.48079812,3.50718039,2.52565114,
EU,Europe,ALB,Albania,1993,All,Age00,[0],1.00000000,0.04275331,,1.49700599,
EU,Europe,ALB,Albania,1993,All,Age01_04,[1-4],1.00000000,0.10362694,,0.34106412,
EU,Europe,ALB,Albania,1993,All,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1993,All,Age10_14,[10-14],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1993,All,Age15_19,[15-19],1.00000000,0.49019608,,0.35348180,
EU,Europe,ALB,Albania,1993,All,Age20_24,[20-24],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1993,All,Age25_29,[25-29],2.00000000,0.66889632,,0.82508251,
EU,Europe,ALB,Albania,1993,All,Age30_34,[30-34],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1993,All,Age35_39,[35-39],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1993,All,Age40_44,[40-44],1.00000000,0.33557047,,0.56850483,
EU,Europe,ALB,Albania,1993,All,Age45_49,[45-49],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1993,All,Age50_54,[50-54],2.00000000,0.35971223,,1.46842878,
EU,Europe,ALB,Albania,1993,All,Age55_59,[55-59],2.00000000,0.26385224,,1.71086399,
EU,Europe,ALB,Albania,1993,All,Age60_64,[60-64],11.00000000,1.01851852,,11.78992497,
EU,Europe,ALB,Albania,1993,All,Age65_69,[65-69],10.00000000,0.90991811,,13.83125865,
EU,Europe,ALB,Albania,1993,All,Age70_74,[70-74],21.00000000,1.18912797,,40.38461539,
EU,Europe,ALB,Albania,1993,All,Age75_79,[75-79],10.00000000,0.58651026,,29.76190476,
EU,Europe,ALB,Albania,1993,All,Age80_84,[80-84],7.00000000,0.37293554,,36.64921466,
EU,Europe,ALB,Albania,1993,All,Age85_over,[85+],11.00000000,0.53580127,,101.85185185,
EU,Europe,ALB,Albania,1993,All,Age_unknown,[Unknown],0.00000000,0.00000000,,,
EU,Europe,ALB,Albania,1993,Male,Age_all,[All],80.00000000,0.83082355,8.26023318,5.10823064,
EU,Europe,ALB,Albania,1993,Male,Age00,[0],1.00000000,0.08103728,,2.82485876,
EU,Europe,ALB,Albania,1993,Male,Age01_04,[1-4],1.00000000,0.19047619,,0.66401062,
EU,Europe,ALB,Albania,1993,Male,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1993,Male,Age10_14,[10-14],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1993,Male,Age15_19,[15-19],1.00000000,0.71428571,,0.74682599,
EU,Europe,ALB,Albania,1993,Male,Age20_24,[20-24],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1993,Male,Age25_29,[25-29],2.00000000,0.89285714,,1.84501845,
EU,Europe,ALB,Albania,1993,Male,Age30_34,[30-34],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1993,Male,Age35_39,[35-39],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1993,Male,Age40_44,[40-44],1.00000000,0.50000000,,1.10132159,
EU,Europe,ALB,Albania,1993,Male,Age45_49,[45-49],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1993,Male,Age50_54,[50-54],2.00000000,0.54347826,,2.80898876,
